bulan,jumlah_curah_hujan,tahun
JANUARI,47.0,2015
FEBRUARI,44.0,2015
MARET,35.0,2015
APRIL,40.0,2015
MEI,26.0,2015
JUNI,32.0,2015
JULI,24.0,2015
AGUSTUS,3.0,2015
SEPTEMBER,16.0,2015
OKTOBER,42.0,2015
NOVEMBER,19.0,2015
DESEMBER,29.0,2015
JANUARI,43.0,2015
FEBRUARI,53.0,2015
MARET,26.0,2015
APRIL,98.0,2015
MEI,19.5,2015
JUNI,26.0,2015
JULI,0.0,2015
AGUSTUS,0.0,2015
SEPTEMBER,8.5,2015
OKTOBER,17.0,2015
NOVEMBER,75.5,2015
DESEMBER,29.0,2015
JANUARI,80.0,2016
FEBRUARI,45.0,2016
MARET,65.0,2016
APRIL,44.0,2016
MEI,62.0,2016
JUNI,39.0,2016
JULI,61.0,2016
AGUSTUS,26.0,2016
SEPTEMBER,69.0,2016
OKTOBER,61.0,2016
NOVEMBER,60.0,2016
DESEMBER,41.0,2016
JANUARI,43.0,2016
FEBRUARI,53.0,2016
MARET,26.0,2016
APRIL,24.5,2016
MEI,40.1,2016
JUNI,49.5,2016
JULI,15.0,2016
AGUSTUS,29.5,2016
SEPTEMBER,34.0,2016
OKTOBER,19.0,2016
NOVEMBER,19.0,2016
DESEMBER,29.0,2016
JANUARI,81.0,2017
FEBRUARI,39.0,2017
MARET,33.0,2017
APRIL,38.0,2017
MEI,54.0,2017
JUNI,22.0,2017
JULI,25.2,2017
AGUSTUS,13.0,2017
SEPTEMBER,22.5,2017
OKTOBER,47.0,2017
NOVEMBER,62.8,2017
DESEMBER,60.0,2017
JANUARI,21.0,2017
FEBRUARI,22.0,2017
MARET,42.0,2017
APRIL,59.0,2017
MEI,9.0,2017
JUNI,0.0,2017
JULI,68.0,2017
AGUSTUS,27.5,2017
SEPTEMBER,27.0,2017
OKTOBER,51.5,2017
NOVEMBER,95.0,2017
DESEMBER,54.0,2017
JANUARI,29.0,2018
FEBRUARI,40.0,2018
MARET,72.0,2018
APRIL,42.0,2018
MEI,22.0,2018
JUNI,18.0,2018
JULI,2.0,2018
AGUSTUS,30.0,2018
SEPTEMBER,41.0,2018
OKTOBER,55.0,2018
NOVEMBER,68.0,2018
DESEMBER,52.0,2018
JANUARI,52.0,2018
FEBRUARI,34.5,2018
MARET,59.0,2018
APRIL,32.0,2018
MEI,11.0,2018
JUNI,15.0,2018
JULI,0.0,2018
AGUSTUS,7.5,2018
SEPTEMBER,6.0,2018
OKTOBER,27.5,2018
NOVEMBER,46.0,2018
DESEMBER,67.0,2018
JANUARI,45.0,2019
FEBRUARI,38.0,2019
MARET,40.0,2019
APRIL,59.0,2019
MEI,19.0,2019
JUNI,0.0,2019
JULI,0.0,2019
AGUSTUS,22.0,2019
SEPTEMBER,0.0,2019
OKTOBER,44.0,2019
NOVEMBER,40.0,2019
DESEMBER,70.0,2019
JANUARI,32.0,2019
FEBRUARI,41.0,2019
MARET,29.0,2019
APRIL,51.0,2019
MEI,27.0,2019
JUNI,0.0,2019
JULI,0.0,2019
AGUSTUS,0.0,2019
SEPTEMBER,2.0,2019
OKTOBER,16.0,2019
NOVEMBER,39.0,2019
DESEMBER,43.0,2019
JANUARI,29.0,2020
FEBRUARI,63.0,2020
MARET,63.0,2020
APRIL,73.0,2020
MEI,40.0,2020
JUNI,30.0,2020
JULI,19.0,2020
AGUSTUS,12.5,2020
SEPTEMBER,11.0,2020
OKTOBER,39.0,2020
NOVEMBER,26.0,2020
DESEMBER,26.0,2020
JANUARI,32.2,2020
FEBRUARI,50.2,2020
MARET,54.5,2020
APRIL,45.1,2020
MEI,50.0,2020
JUNI,31.5,2020
JULI,12.0,2020
AGUSTUS,15.0,2020
SEPTEMBER,20.0,2020
OKTOBER,63.0,2020
NOVEMBER,36.0,2020
DESEMBER,54.0,2020
JANUARI,,2021
FEBRUARI,,2021
MARET,,2021
APRIL,,2021
MEI,,2021
JUNI,,2021
JULI,,2021
AGUSTUS,,2021
SEPTEMBER,,2021
OKTOBER,,2021
NOVEMBER,,2021
DESEMBER,,2021
JANUARI,,2021
FEBRUARI,,2021
MARET,,2021
APRIL,,2021
MEI,,2021
JUNI,,2021
JULI,,2021
AGUSTUS,,2021
SEPTEMBER,,2021
OKTOBER,,2021
NOVEMBER,,2021
DESEMBER,,2021