id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
1,32,JAWA BARAT,CITARUM,CIHERANG,JANUARI,183.0,MILIMETER,2015
2,32,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,217.0,MILIMETER,2015
3,32,JAWA BARAT,CITARUM,CIHERANG,MARET,261.0,MILIMETER,2015
4,32,JAWA BARAT,CITARUM,CIHERANG,APRIL,159.0,MILIMETER,2015
5,32,JAWA BARAT,CITARUM,CIHERANG,MEI,73.0,MILIMETER,2015
6,32,JAWA BARAT,CITARUM,CIHERANG,JUNI,32.0,MILIMETER,2015
7,32,JAWA BARAT,CITARUM,CIHERANG,JULI,34.0,MILIMETER,2015
8,32,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,3.0,MILIMETER,2015
9,32,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,16.0,MILIMETER,2015
10,32,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,43.0,MILIMETER,2015
11,32,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,143.5,MILIMETER,2015
12,32,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,136.5,MILIMETER,2015
13,32,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,270.0,MILIMETER,2015
14,32,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,272.5,MILIMETER,2015
15,32,JAWA BARAT,CITARUM,KAYU AMBON,MARET,174.0,MILIMETER,2015
16,32,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,372.7,MILIMETER,2015
17,32,JAWA BARAT,CITARUM,KAYU AMBON,MEI,64.0,MILIMETER,2015
18,32,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,51.0,MILIMETER,2015
19,32,JAWA BARAT,CITARUM,KAYU AMBON,JULI,0.0,MILIMETER,2015
20,32,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,0.0,MILIMETER,2015
21,32,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,8.5,MILIMETER,2015
22,32,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,17.0,MILIMETER,2015
23,32,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,355.5,MILIMETER,2015
24,32,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,128.5,MILIMETER,2015
25,32,JAWA BARAT,CITARUM,CIHERANG,JANUARI,305.0,MILIMETER,2016
26,32,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,297.0,MILIMETER,2016
27,32,JAWA BARAT,CITARUM,CIHERANG,MARET,335.0,MILIMETER,2016
28,32,JAWA BARAT,CITARUM,CIHERANG,APRIL,400.0,MILIMETER,2016
29,32,JAWA BARAT,CITARUM,CIHERANG,MEI,261.0,MILIMETER,2016
30,32,JAWA BARAT,CITARUM,CIHERANG,JUNI,145.0,MILIMETER,2016
31,32,JAWA BARAT,CITARUM,CIHERANG,JULI,271.0,MILIMETER,2016
32,32,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,113.0,MILIMETER,2016
33,32,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,375.0,MILIMETER,2016
34,32,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,349.0,MILIMETER,2016
35,32,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,302.0,MILIMETER,2016
36,32,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,158.0,MILIMETER,2016
37,32,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,306.0,MILIMETER,2016
38,32,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,272.5,MILIMETER,2016
39,32,JAWA BARAT,CITARUM,KAYU AMBON,MARET,174.0,MILIMETER,2016
40,32,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,54.4,MILIMETER,2016
41,32,JAWA BARAT,CITARUM,KAYU AMBON,MEI,196.4,MILIMETER,2016
42,32,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,124.0,MILIMETER,2016
43,32,JAWA BARAT,CITARUM,KAYU AMBON,JULI,121.5,MILIMETER,2016
44,32,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,143.0,MILIMETER,2016
45,32,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,276.0,MILIMETER,2016
46,32,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,21.0,MILIMETER,2016
47,32,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,143.5,MILIMETER,2016
48,32,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,136.5,MILIMETER,2016
49,32,JAWA BARAT,CITARUM,CIHERANG,JANUARI,151.0,MILIMETER,2017
50,32,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,277.0,MILIMETER,2017
51,32,JAWA BARAT,CITARUM,CIHERANG,MARET,186.0,MILIMETER,2017
52,32,JAWA BARAT,CITARUM,CIHERANG,APRIL,232.0,MILIMETER,2017
53,32,JAWA BARAT,CITARUM,CIHERANG,MEI,117.0,MILIMETER,2017
54,32,JAWA BARAT,CITARUM,CIHERANG,JUNI,90.0,MILIMETER,2017
55,32,JAWA BARAT,CITARUM,CIHERANG,JULI,45.0,MILIMETER,2017
56,32,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,16.5,MILIMETER,2017
57,32,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,49.5,MILIMETER,2017
58,32,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,193.1,MILIMETER,2017
59,32,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,533.2,MILIMETER,2017
60,32,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,279.2,MILIMETER,2017
61,32,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,85.0,MILIMETER,2017
62,32,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,140.5,MILIMETER,2017
63,32,JAWA BARAT,CITARUM,KAYU AMBON,MARET,283.5,MILIMETER,2017
64,32,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,211.0,MILIMETER,2017
65,32,JAWA BARAT,CITARUM,KAYU AMBON,MEI,19.0,MILIMETER,2017
66,32,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,0.0,MILIMETER,2017
67,32,JAWA BARAT,CITARUM,KAYU AMBON,JULI,101.0,MILIMETER,2017
68,32,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,34.0,MILIMETER,2017
69,32,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,57.5,MILIMETER,2017
70,32,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,231.0,MILIMETER,2017
71,32,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,547.0,MILIMETER,2017
72,32,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,229.5,MILIMETER,2017
73,32,JAWA BARAT,CITARUM,CIHERANG,JANUARI,99.0,MILIMETER,2018
74,32,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,202.0,MILIMETER,2018
75,32,JAWA BARAT,CITARUM,CIHERANG,MARET,277.0,MILIMETER,2018
76,32,JAWA BARAT,CITARUM,CIHERANG,APRIL,213.0,MILIMETER,2018
77,32,JAWA BARAT,CITARUM,CIHERANG,MEI,56.0,MILIMETER,2018
78,32,JAWA BARAT,CITARUM,CIHERANG,JUNI,20.0,MILIMETER,2018
79,32,JAWA BARAT,CITARUM,CIHERANG,JULI,2.0,MILIMETER,2018
80,32,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,59.0,MILIMETER,2018
81,32,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,61.0,MILIMETER,2018
82,32,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,193.0,MILIMETER,2018
83,32,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,342.0,MILIMETER,2018
84,32,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,234.0,MILIMETER,2018
85,32,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,285.5,MILIMETER,2018
86,32,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,212.5,MILIMETER,2018
87,32,JAWA BARAT,CITARUM,KAYU AMBON,MARET,358.0,MILIMETER,2018
88,32,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,171.0,MILIMETER,2018
89,32,JAWA BARAT,CITARUM,KAYU AMBON,MEI,63.5,MILIMETER,2018
90,32,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,42.0,MILIMETER,2018
91,32,JAWA BARAT,CITARUM,KAYU AMBON,JULI,0.0,MILIMETER,2018
92,32,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,10.5,MILIMETER,2018
93,32,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,18.0,MILIMETER,2018
94,32,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,105.5,MILIMETER,2018
95,32,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,439.0,MILIMETER,2018
96,32,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,391.5,MILIMETER,2018
97,32,JAWA BARAT,CITARUM,CIHERANG,JANUARI,224.0,MILIMETER,2019
98,32,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,222.0,MILIMETER,2019
99,32,JAWA BARAT,CITARUM,CIHERANG,MARET,182.0,MILIMETER,2019
100,32,JAWA BARAT,CITARUM,CIHERANG,APRIL,273.0,MILIMETER,2019
101,32,JAWA BARAT,CITARUM,CIHERANG,MEI,82.0,MILIMETER,2019
102,32,JAWA BARAT,CITARUM,CIHERANG,JUNI,0.0,MILIMETER,2019
103,32,JAWA BARAT,CITARUM,CIHERANG,JULI,0.0,MILIMETER,2019
104,32,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,40.0,MILIMETER,2019
105,32,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,0.0,MILIMETER,2019
106,32,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,163.0,MILIMETER,2019
107,32,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,157.0,MILIMETER,2019
108,32,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,408.0,MILIMETER,2019
109,32,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,166.0,MILIMETER,2019
110,32,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,377.0,MILIMETER,2019
111,32,JAWA BARAT,CITARUM,KAYU AMBON,MARET,216.0,MILIMETER,2019
112,32,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,347.0,MILIMETER,2019
113,32,JAWA BARAT,CITARUM,KAYU AMBON,MEI,69.5,MILIMETER,2019
114,32,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,0.0,MILIMETER,2019
115,32,JAWA BARAT,CITARUM,KAYU AMBON,JULI,0.0,MILIMETER,2019
116,32,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,0.0,MILIMETER,2019
117,32,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,2.0,MILIMETER,2019
118,32,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,32.0,MILIMETER,2019
119,32,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,120.5,MILIMETER,2019
120,32,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,233.0,MILIMETER,2019
121,32,JAWA BARAT,CITARUM,CIHERANG,JANUARI,207.0,MILIMETER,2020
122,32,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,373.0,MILIMETER,2020
123,32,JAWA BARAT,CITARUM,CIHERANG,MARET,440.0,MILIMETER,2020
124,32,JAWA BARAT,CITARUM,CIHERANG,APRIL,472.0,MILIMETER,2020
125,32,JAWA BARAT,CITARUM,CIHERANG,MEI,188.0,MILIMETER,2020
126,32,JAWA BARAT,CITARUM,CIHERANG,JUNI,69.0,MILIMETER,2020
127,32,JAWA BARAT,CITARUM,CIHERANG,JULI,42.0,MILIMETER,2020
128,32,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,53.5,MILIMETER,2020
129,32,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,33.0,MILIMETER,2020
130,32,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,182.0,MILIMETER,2020
131,32,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,131.0,MILIMETER,2020
132,32,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,201.0,MILIMETER,2020
133,32,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,166.6,MILIMETER,2020
134,32,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,343.9,MILIMETER,2020
135,32,JAWA BARAT,CITARUM,KAYU AMBON,MARET,387.6,MILIMETER,2020
136,32,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,352.1,MILIMETER,2020
137,32,JAWA BARAT,CITARUM,KAYU AMBON,MEI,195.5,MILIMETER,2020
138,32,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,98.5,MILIMETER,2020
139,32,JAWA BARAT,CITARUM,KAYU AMBON,JULI,21.5,MILIMETER,2020
140,32,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,35.5,MILIMETER,2020
141,32,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,58.5,MILIMETER,2020
142,32,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,382.5,MILIMETER,2020
143,32,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,162.5,MILIMETER,2020
144,32,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,213.5,MILIMETER,2020
